technique_id,technique_name,family,aspect_1_mind,aspect_2_meaning_seeking,aspect_3_relational_perception,aspect_4_conceptual_poverty,aspect_5_ideational_confusion,aspect_6_symbolic_mediation,aspect_7_revelatory_reception
A1,Concept Map / Mind Map,Static 2D Diagrammatic,1,1,1,1,1,1,1
A2,Node-Link Diagram,Static 2D Diagrammatic,0,0,1,0,1,0,0
A3,Sankey Diagram,Static 2D Diagrammatic,0,0,0,1,1,1,1
A4,Chord Diagram,Static 2D Diagrammatic,0,0,1,0,1,0,0
A5,Radial / Sunburst Tree,Static 2D Diagrammatic,1,1,1,1,1,1,1
A6,Treemap,Static 2D Diagrammatic,0,1,0,1,1,0,0
A7,Voronoi Tessellation,Static 2D Diagrammatic,1,1,1,1,1,1,1
A8,Venn / Euler Diagram,Static 2D Diagrammatic,0,0,1,1,1,0,0
A9,Hasse Diagram / Lattice,Static 2D Diagrammatic,1,1,1,1,1,1,1
A10,Radar / Spider Chart,Static 2D Diagrammatic,1,1,1,1,1,1,1
A11,Parallel Coordinates,Static 2D Diagrammatic,1,1,1,1,1,1,1
A12,Heatmap / Matrix,Static 2D Diagrammatic,0,0,1,0,1,0,0
A13,Scatter Plot (2D projection),Static 2D Diagrammatic,1,1,1,1,1,1,1
A14,Small Multiples,Static 2D Diagrammatic,1,1,1,1,1,1,1
A15,Isotype / Pictogram Chart,Static 2D Diagrammatic,1,1,1,1,1,1,1
B1,Mandala,Static 2D Artistic,1,1,1,1,1,1,1
B2,Yantra,Static 2D Artistic,1,1,1,1,1,1,1
B3,Sephirotic Tree,Static 2D Artistic,1,1,1,1,1,1,1
B4,Sigil Set,Static 2D Artistic,1,1,1,1,1,1,1
B5,Heraldic Shield,Static 2D Artistic,1,1,1,1,1,1,1
B6,Tarot Major Arcana,Static 2D Artistic,1,1,1,1,1,1,1
B7,Illuminated Manuscript,Static 2D Artistic,1,1,1,1,1,1,1
B8,Stained Glass Cartoon,Static 2D Artistic,1,1,1,1,1,1,1
B9,Icon / Emoji Set,Static 2D Artistic,1,1,1,1,1,1,1
B10,Concrete Poetry,Static 2D Artistic,1,1,1,1,1,1,1
B11,Engraving / Etching,Static 2D Artistic,1,1,1,1,1,1,1
B12,Infographic Poster,Static 2D Artistic,1,1,1,1,1,1,1
B13,Comic / Graphic Novel Panels,Static 2D Artistic,1,1,1,1,1,1,1
C1,Sculpture / Bas-Relief,Static 3D Physical,1,1,1,1,1,1,1
C2,3D-Printed Manifold,Static 3D Physical,0,0,0,1,1,1,0
C3,Origami / Paper Engineering,Static 3D Physical,1,1,1,1,1,1,1
C4,Architectural Model,Static 3D Physical,1,1,1,1,1,1,1
C5,Diorama,Static 3D Physical,1,1,1,1,1,1,1
C6,Mechanical Orrery,Static 3D Physical,1,1,1,1,1,1,1
C7,Lenticular Print,Static 3D Physical,1,1,1,1,1,1,1
C8,Holographic Plate,Static 3D Physical,1,1,1,1,1,1,1
C9,Tactile Relief / Braille,Static 3D Physical,1,1,1,1,1,1,1
C10,Kinetic Sculpture,Static 3D Physical,1,0,0,1,0,0,1
C11,Crystal / Glass Prism,Static 3D Physical,1,1,1,1,1,1,1
D1,Kinetic Typography,Time-Based Motion,1,1,1,1,1,1,1
D2,Motion-Graphics Explainer,Time-Based Motion,1,1,1,1,1,1,1
D3,Generative Shader (GLSL),Time-Based Motion,0,0,1,0,1,0,0
D4,Particle System Animation,Time-Based Motion,0,0,0,1,1,0,1
D5,Morphing Mandala,Time-Based Motion,1,1,1,1,1,1,1
D6,Stop-Motion (Claymation),Time-Based Motion,1,1,1,1,1,1,1
D7,Rotoscoped Dance,Time-Based Motion,1,1,1,1,1,1,1
D8,Time-Lapse Drawing,Time-Based Motion,1,1,1,1,1,1,1
D9,Cinematic Montage,Time-Based Motion,1,1,1,1,1,1,1
D10,Scrollytelling Web Page,Time-Based Motion,1,1,1,1,1,1,1
E1,Interactive Radar Chart (D3),Interactive Digital,1,1,1,1,1,1,1
E2,Force-Directed Graph,Interactive Digital,0,0,1,0,1,0,0
E3,Knowledge-Graph Browser,Interactive Digital,1,1,1,1,1,1,1
E4,Linked-View Dashboard,Interactive Digital,1,1,1,1,1,1,1
E5,Interactive Manuscript,Interactive Digital,0,1,0,0,0,1,0
E6,Branching Visual Novel,Interactive Digital,1,1,1,1,1,1,1
E7,Scrollytelling (Svelte/React),Interactive Digital,1,1,1,1,1,1,1
E8,3D Web Scene (Three.js),Interactive Digital,1,1,1,1,1,1,1
E9,Jupyter / Observable Notebook,Interactive Digital,1,1,1,1,1,1,1
E10,Zoomable Treemap,Interactive Digital,0,1,1,0,0,0,0
F1,VR Scene (Unity/Unreal),Immersive Spatial,1,1,1,1,1,1,1
F2,AR Overlay,Immersive Spatial,1,1,1,1,1,1,1
F3,Dome / Planetarium Projection,Immersive Spatial,1,1,1,1,1,1,1
F4,CAVE Installation,Immersive Spatial,1,1,1,1,1,1,1
F5,Projection Mapping,Immersive Spatial,1,1,1,1,1,1,1
F6,Mixed-Reality Table,Immersive Spatial,1,1,1,1,1,1,1
F7,LED Light Installation,Immersive Spatial,1,0,0,1,0,0,1
G1,Sonification,Sonic Synesthetic,1,1,1,1,1,1,1
G2,Seven-Voice Fugue,Sonic Synesthetic,1,1,1,1,1,1,1
G3,Binaural Soundscape,Sonic Synesthetic,1,1,1,1,1,1,1
G4,Spectrogram Art,Sonic Synesthetic,1,1,1,1,1,1,1
G5,Bell / Singing-Bowl Set,Sonic Synesthetic,1,1,1,1,1,1,1
G6,Overtone Chanting,Sonic Synesthetic,0,0,0,0,0,0,1
